time,yRef,xRef
8.820513462,9.833514895,19.0920007
8.835036368,9.943834648,19.05825924
8.851810216,10.07125314,19.0192881
8.872823632,10.22904844,18.97028277
8.902925702,10.4548187,18.90005419
8.930620593,10.66253474,18.83544159
8.968489102,10.94655451,18.74709379
9,11.1828912,18.67357839
9.014876924,11.29447047,18.6388703
9.029753848,11.40604974,18.60416221
9.052724167,11.57833075,18.55057211
9.080712783,11.78824977,18.48527424
9.097961705,11.90207517,18.42039242
9.115210627,12.01580137,18.35535334
9.140105748,12.17994075,18.26148338
9.171583443,12.38748059,18.14279305
9.2,12.57483764,18.0356451
9.212181824,12.65515527,17.98971211
9.224363649,12.7354729,17.94377912
9.24225544,12.85343769,17.87631603
9.263344748,12.99248445,17.79679633
9.29085766,13.17388355,17.69305568
9.327534272,13.395545,17.52283382
9.35988604,13.57573286,17.34839166
9.387046704,13.72700811,17.20194017
9.4,13.79915338,17.13209543
9.41004071,13.85507657,17.07795547
9.420081421,13.91099976,17.02381552
9.434475951,13.99117218,16.94619958
9.450970311,14.08303991,16.85726127
9.471482429,14.19728513,16.74665903
9.497560315,14.34252969,16.60604592
9.532249989,14.53573886,16.41899767
9.550126963,14.60051588,16.30284242
9.568003937,14.6593363,16.18330377
9.590927645,14.73476193,16.03001893
9.6,14.76461261,15.96935445
9.61375278,14.80986323,15.87739321
9.627505559,14.85511386,15.78543196
9.647357826,14.92043356,15.65268504
9.671303561,14.99922195,15.49256617
9.703280586,15.10443562,15.27874415
9.746866757,15.24784673,14.98729482
9.8,15.32173254,14.60386296
9.835487848,15.34452014,14.34036192
9.870975696,15.36730773,14.07686088
9.915032178,15.39559745,13.74973682
9.947577358,15.41649548,13.50808541
9.947577358,15.41649548,13.50808541
9.96145457,15.42540637,13.40504564
9.975331782,15.43431726,13.30200586
9.995905992,15.43180404,13.14814272
10,15.42523847,13.11710257
10.01423367,15.40241188,13.00918505
10.02846734,15.37958529,12.90126753
10.04694462,15.3499532,12.76117558
10.06975392,15.31337384,12.58823893
10.10024073,15.26448202,12.35709253
10.15014268,15.18445408,11.9787435
10.18172363,15.13380758,11.73930152
10.2,15.10449771,11.60073288
10.21525056,15.08004033,11.48510545
10.23050112,15.02716359,11.38979964
10.2509662,14.95444262,11.26316819
10.27357279,14.874112,11.12328578
10.30434744,14.76475687,10.93286202
10.34618787,14.61608043,10.67396676
10.4,14.42486354,10.34099436
10.42724506,14.32805052,10.17241061
10.45449011,14.20433571,10.02306331
10.47171611,14.10298377,9.945177449
10.48894211,14.00163182,9.867291588
10.51213132,13.86519438,9.762443599
10.54156714,13.69200406,9.62935215
10.58085206,13.46086492,9.451728814
10.6,13.34820493,9.365153068
10.61137546,13.2812756,9.313719927
10.62275092,13.21434626,9.262286786
10.63930189,13.11696597,9.187453024
10.65861999,13.00330483,9.100107924
10.68339533,12.84082029,9.000040525
10.70798839,12.66551318,8.91073313
10.72936139,12.51315968,8.833119081
10.76013136,12.29382161,8.721380818
10.8,12.00962536,8.576601598
10.81082494,11.9324618,8.53729186
10.82164987,11.85529824,8.497982122
10.83650724,11.74939023,8.444028986
10.85378007,11.62626404,8.381304321
10.8753858,11.47225158,8.302845147
10.90313215,11.27446681,8.202086868
10.92287015,11.13376807,8.130410151
10.94260816,10.99306933,8.058733433
10.97129405,10.78858725,7.954563315
11,10.58396216,7.850320347
11.01242843,10.49536842,7.805187685
11.02485685,10.40677467,7.760055023
11.04320212,10.27600377,7.693435881
11.06493133,10.12111111,7.614528303
11.09358028,9.916892372,7.51049234
11.12400715,9.7,7.4
11.12400715,9.7,7.4
