yRef,xRef
-10.2960058,4.246257141
-10.36424438,4.302247385
-10.46329532,4.38351939
-10.57762667,4.499994617
-10.6841342,4.613579688
-10.82720995,4.766162968
-11.01720425,4.968782592
-11.28207598,5.251255333
-11.34621465,5.319656078
-11.41035331,5.388056823
-11.50524762,5.489256963
-11.61710496,5.608547335
-11.76367249,5.764854439
-11.96128681,5.97560044
-12.11493159,6.209499718
-12.23098789,6.455023259
-12.27196365,6.54170976
-12.31293941,6.628396261
-12.36721618,6.74322179
-12.4315824,6.879392106
-12.51321772,7.052096155
-12.62052752,7.27911599
-12.77040502,7.596190178
-12.91475011,7.901560234
-12.94736508,7.970559017
-12.97998005,8.0395578
-13.02730042,8.139666676
-13.07,8.23
-13.07,8.23
